年份,月份,景點人數,月總雨量
2008,1,0,72.0
2008,2,0,143.0
2008,3,0,116.0
2008,4,0,109.0
2008,5,0,232.5
2008,6,0,299.0
2008,7,0,254.0
2008,8,0,230.5
2008,9,0,925.5
2008,10,0,72.0
2008,11,0,135.5
2008,12,0,28.5
2009,1,0,25.5
2009,2,0,33.5
2009,3,0,175.0
2009,4,0,101.0
2009,5,0,17.0
2009,6,0,275.5
2009,7,0,56.0
2009,8,0,327.5
2009,9,0,193.0
2009,10,0,147.5
2009,11,0,38.0
2009,12,0,42.5
2010,1,0,80.5
2010,2,0,196.0
2010,3,0,52.0
2010,4,0,116.5
2010,5,0,153.5
2010,6,0,342.0
2010,7,0,25.5
2010,8,0,298.0
2010,9,0,108.5
2010,10,0,233.0
2010,11,0,60.0
2010,12,0,45.5
2011,1,0,50.0
2011,2,0,53.0
2011,3,0,93.0
2011,4,0,8.0
2011,5,0,194.0
2011,6,0,271.5
2011,7,0,149.5
2011,8,0,142.5
2011,9,0,36.0
2011,10,0,71.0
2011,11,0,196.5
2011,12,0,118.0
2012,1,0,122.0
2012,2,0,243.0
2012,3,0,63.0
2012,4,0,288.5
2012,5,0,200.0
2012,6,0,534.5
2012,7,0,120.5
2012,8,0,501.5
2012,9,0,75.0
2012,10,0,62.0
2012,11,0,217.5
2012,12,0,158.5
2013,1,0,60.0
2013,2,0,31.5
2013,3,0,48.5
2013,4,0,248.5
2013,5,0,344.0
2013,6,0,219.5
2013,7,0,241.5
2013,8,0,830.5
2013,9,0,126.0
2013,10,0,99.5
2013,11,0,44.0
2013,12,0,176.0
2014,1,0,40.0
2014,2,0,180.5
2014,3,0,155.5
2014,4,0,86.0
2014,5,0,530.5
2014,6,0,338.5
2014,7,0,194.5
2014,8,0,114.0
2014,9,0,153.0
2014,10,0,42.0
2014,11,0,35.5
2014,12,0,71.0
2015,1,0,16.0
2015,2,0,69.0
2015,3,0,182.0
2015,4,0,75.0
2015,5,0,291.5
2015,6,0,132.0
2015,7,0,285.0
2015,8,0,641.5
2015,9,0,236.5
2015,10,0,78.5
2015,11,0,13.0
2015,12,0,36.5
2016,1,0,223.0
2016,2,0,57.5
2016,3,0,247.0
2016,4,0,10.5
2016,5,0,6.0
2016,6,0,1.0
2016,7,0,1.0
2016,8,0,0.0
2016,9,0,6.5
2016,10,0,6.0
2016,11,0,4.5
2016,12,0,0.0
2017,1,191930,0.5
2017,2,186945,1.0
2017,3,170226,6.5
2017,4,220270,85.0
2017,5,172677,170.5
2017,6,97690,663.0
2017,7,455140,115.0
2017,8,253507,116.5
2017,9,143881,158.5
2017,10,125416,225.5
2017,11,213342,108.5
2017,12,288738,40.0
2018,1,204497,243.5
2018,2,170818,128.0
2018,3,267961,31.5
2018,4,321277,49.5
2018,5,243585,38.5
2018,6,180790,68.5
2018,7,444216,248.0
2018,8,387174,164.5
2018,9,267983,199.0
2018,10,233936,93.0
2018,11,187096,45.5
2018,12,336936,42.0
2019,1,551630,38.5
2019,2,604095,59.5
2019,3,395673,180.0
2019,4,223432,96.5
2019,5,282097,318.0
2019,6,294368,349.0
2019,7,295553,356.0
2019,8,276520,233.5
2019,9,215981,323.0
2019,10,218690,12.5
2019,11,307961,5.0
2019,12,302193,125.0
2020,1,304549,25.5
2020,2,224323,24.5
2020,3,77984,186.5
2020,4,20870,60.5
2020,5,51646,350.5
2020,6,62830,51.0
2020,7,230071,155.0
2020,8,173483,365.5
2020,9,171580,104.0
2020,10,250585,5.5
2020,11,149645,11.0
2020,12,123726,98.0
2021,1,201037,30.0
2021,2,364808,53.0
2021,3,286081,79.0
2021,4,318797,58.5
2021,5,71458,125.0
2021,6,0,282.0
2021,7,63987,331.5
2021,8,64686,359.5
2021,9,92284,129.5
2021,10,183332,201.5
2021,11,124950,63.5
2021,12,177246,33.75
2022,1,243078,104.0
2022,2,233357,210.5
2022,3,131136,167.5
2022,4,118189,81.0
2022,5,84794,489.0
2022,6,98213,228.0
2022,7,182677,81.5
2022,8,253712,118.0
2022,9,186583,216.5
2022,10,101833,352.5
2022,11,153428,125.5
2022,12,241122,51.5
2023,1,367429,13.5
2023,2,317021,33.5
2023,3,189100,21.5
2023,4,185719,101.5
2023,5,222538,170.5
2023,6,203138,345.0
2023,7,239632,121.0
2023,8,285810,361.25
2023,9,331939,66.0
2023,10,195697,70.0
2023,11,277630,15.0
2023,12,533497,83.0
2024,1,352259,28.5
2024,2,395394,36.0
2024,3,332828,98.0
2024,4,259312,177.0
2024,5,180401,114.5
2024,6,269255,151.25
2024,7,394900,268.0
2024,8,427719,242.0
2024,9,310958,381.0
2024,10,341114,229.5
2024,11,386214,35.5
2024,12,548859,16.0
